Date,Open*,High,Low,Close**,Volume,Market Cap
"Dec 20, 2017",41.68,46.08,35.48,43.75,22740800,382591216
"Dec 19, 2017",42.35,46.44,38.42,41.38,21900300,361879317
"Dec 18, 2017",38.43,44.69,36.76,42.27,20930600,369624854
"Dec 17, 2017",31.71,44.93,31.16,38.59,28270400,337499721
"Dec 16, 2017",31.71,32.1,29.75,30.95,12512500,270688017
"Dec 15, 2017",32.42,32.88,26.16,31.67,19675900,276933769
"Dec 14, 2017",25.89,35.82,25.73,32.29,34603300,282341740
"Dec 13, 2017",27.03,29.23,24.87,26.36,12217400,230533132
"Dec 12, 2017",23.67,27.96,22.97,27.24,11137400,238223575
"Dec 11, 2017",19.24,25.26,19.24,23.63,9127790,206650258
"Dec 10, 2017",21.6,21.6,18.82,19.65,6611590,171871862
"Dec 09, 2017",20.21,22.34,20.01,22.06,9043360,192883719
"Dec 08, 2017",19.34,22.37,18.11,20.37,11227700,178105371
"Dec 07, 2017",23.02,25.46,19.29,19.48,13384500,170364207
"Dec 06, 2017",25.5,25.96,21.45,22.61,10704200,197757364
"Dec 05, 2017",23.83,25.59,23.73,25.51,7338800,223062191
"Dec 04, 2017",23.05,24.46,22.74,23.88,6554430,208847028
"Dec 03, 2017",22.26,24.6,21.36,23.11,5475510,202071323
"Dec 02, 2017",23.17,23.35,21.68,22.43,3068200,196177999
"Dec 01, 2017",23.19,23.25,20.96,23.23,4852030,203131229
"Nov 30, 2017",20.25,23.6,18.57,23.39,6917800,204583791
"Nov 29, 2017",23.56,25.36,19.01,19.58,9147160,171206360
"Nov 28, 2017",22.94,25.13,22.79,23.66,6776520,206915235
"Nov 27, 2017",22.76,23.52,21.9,22.88,4196830,200125538
"Nov 26, 2017",23.43,23.47,21.77,22.91,4562490,200392263
"Nov 25, 2017",22.13,23.64,22.13,23.34,4208370,204090567
"Nov 24, 2017",21.93,22.45,21,22.12,4548280,193459146
"Nov 23, 2017",22.74,24.1,21.84,21.84,6263550,191005271
"Nov 22, 2017",19.93,23.15,19.75,22.92,7285730,200421122
"Nov 21, 2017",19.5,20.95,18.22,19.79,3982040,173083059
"Nov 20, 2017",18.81,19.78,18.43,19.39,3939130,169598136
"Nov 19, 2017",18.56,19.92,18.53,18.88,3214330,165146879
"Nov 18, 2017",18.47,19.37,17.91,18.55,3659840,162243505
"Nov 17, 2017",18.78,19.21,17.35,18.38,6094750,160741096
"Nov 16, 2017",19.34,21.6,18.66,19.05,10068500,166554840
"Nov 15, 2017",17.91,21.46,17.1,19.37,7185410,169363767
"Nov 14, 2017",16.88,18.2,16.86,17.86,2772270,156220753
"Nov 13, 2017",16.24,18.3,16.18,16.81,4780390,147021780
"Nov 12, 2017",20.3,21.08,15.7,16.18,6862910,141472139
"Nov 11, 2017",17.5,19.98,17.19,19.98,5825590,174708773
"Nov 10, 2017",21.45,22.56,16.53,17.54,9689210,153421446
"Nov 09, 2017",17,22.93,16.86,21.28,9168790,186131625
"Nov 08, 2017",16.52,17.85,15.24,16.99,5323950,148622134
"Nov 07, 2017",15.95,16.92,15.07,16.54,5096930,144636116
"Nov 06, 2017",14.42,16.3,13.93,16.09,5425720,140712189
"Nov 05, 2017",14.26,14.56,13.58,14.31,4823260,125110053
"Nov 04, 2017",14.51,14.65,13.32,14.15,5342760,123712585
"Nov 03, 2017",11.65,16.33,11.41,14.53,11658900,127083822
"Nov 02, 2017",12.55,13.19,11.47,11.63,6274120,101725650
"Nov 01, 2017",14.51,14.55,12.42,12.57,4924490,109946920
"Oct 31, 2017",15.34,15.55,14.19,14.58,3827220,127483473
"Oct 30, 2017",14.61,16.13,14.6,15.3,3978210,133770327
"Oct 29, 2017",14.88,15.84,14.61,14.67,3778790,128268784
"Oct 28, 2017",15.49,16,14.87,14.89,3879950,130197953
"Oct 27, 2017",15.08,15.62,14.46,15.48,3593930,135334826
"Oct 26, 2017",15.48,15.56,14.69,15.1,2521090,132022181
"Oct 25, 2017",16.06,16.17,14.95,15.47,1137840,135298097
"Oct 24, 2017",15.01,16.64,14.37,15.94,3946660,139405671
"Oct 23, 2017",15.19,15.26,14.33,15.03,1481280,131452001
"Oct 22, 2017",15.23,15.69,14.73,15.21,1348230,133006880
"Oct 21, 2017",15.31,15.64,14.2,15.22,2034400,133096954
"Oct 20, 2017",15.93,16.07,14.98,15.33,2499680,134096520
"Oct 19, 2017",16.68,16.75,15.36,15.93,1828120,139300730
"Oct 18, 2017",15.86,16.83,15.41,16.7,2206280,146062443
"Oct 17, 2017",16.55,16.72,15.74,15.81,1647080,138282800
"Oct 16, 2017",17.13,17.46,15.78,16.56,2233920,144785658
"Oct 15, 2017",16.48,17.74,15.8,17.09,2751450,149446797
"Oct 14, 2017",16.95,16.99,15.87,16.46,1554970,143916395
"Oct 13, 2017",16.42,17.07,15.37,16.91,2706360,147873553
"Oct 12, 2017",16.69,17.25,15.83,16.37,2457100,143170437
"Oct 11, 2017",15.99,17.33,15.81,16.67,1942360,145816705
"Oct 10, 2017",15.49,16.18,15.2,15.97,2628550,139638291
"Oct 09, 2017",16.59,17.56,15.39,15.44,3143110,135061979
"Oct 08, 2017",18.45,18.5,16.3,16.48,2321920,144086050
"Oct 07, 2017",17.6,18.85,17.46,18.52,2089070,161980277
"Oct 06, 2017",18.14,18.28,17.03,17.62,2179890,154071207
"Oct 05, 2017",17.05,18.11,16.33,18.11,1840770,158354558
"Oct 04, 2017",16.83,18.69,16.83,17.06,2927170,149152962
"Oct 03, 2017",17.11,17.66,15.57,16.82,2876690,147092616
"Oct 02, 2017",17.95,18.15,16.81,17.07,2593250,149282389
"Oct 01, 2017",18.46,18.6,17.77,17.96,2310450,157048040
"Sep 30, 2017",18.34,19.15,18.27,18.46,2177150,161438955
"Sep 29, 2017",19.17,19.23,17.72,18.33,1962570,160306465
"Sep 28, 2017",19.81,19.92,19.05,19.19,1825390,167831625
"Sep 27, 2017",17.6,20.13,17.49,19.81,3594630,173236098
"Sep 26, 2017",17.31,17.96,17.14,17.6,2491610,153925164
"Sep 25, 2017",16.51,17.6,16.14,17.31,536718,151359351
"Sep 24, 2017",17.09,17.51,16.16,16.53,496915,144565281
"Sep 23, 2017",15.6,17.07,15.43,17.07,457919,149292883
"Sep 22, 2017",14.89,16.08,14.87,15.56,1151450,136074662
"Sep 21, 2017",17.39,17.57,14.09,14.84,2096320,129743208
"Sep 20, 2017",18.58,18.98,17.49,17.49,884523,152957956
"Sep 19, 2017",19.83,19.83,18.13,18.55,594451,162237383
"Sep 18, 2017",17.35,19.92,17.35,19.63,1526230,171659356
"Sep 17, 2017",17.9,17.9,15.61,17.35,912591,151754630
"Sep 16, 2017",18.14,19.4,16.41,17.89,1275190,156408773
"Sep 15, 2017",15.12,18.46,12.62,18.05,3178720,157872703
"Sep 14, 2017",20.45,21.14,15.15,15.15,2348240,132448068
"Sep 13, 2017",22.14,22.22,18.49,20.37,2796610,178154343
"Sep 12, 2017",23.4,24.56,21.99,22.1,1204890,193233523
"Sep 11, 2017",23.56,24.63,22.77,23.37,1249790,204380030
"Sep 10, 2017",25,25.01,21.68,23.51,2014510,205586854
"Sep 09, 2017",26.49,26.58,24.22,25.07,1276300,219235335
"Sep 08, 2017",27.83,30.05,23.33,26.27,6644870,229761814
"Sep 07, 2017",26.41,28.36,25.68,27.98,2729340,244673087
"Sep 06, 2017",25.31,28.13,25.3,26.46,1522070,231436501
"Sep 05, 2017",24.47,26.85,21.71,25.3,3089900,221237088
"Sep 04, 2017",27.65,27.7,21.81,24.3,3814510,212509477
"Sep 03, 2017",27.25,29.55,25.93,27.64,2736900,241705874
"Sep 02, 2017",32.78,33.38,25.99,27.2,4886380,237837041
"Sep 01, 2017",29.72,32.69,29.43,32.69,2788860,285840655
"Aug 31, 2017",30.3,30.3,28.65,29.65,3316700,259277408
"Aug 30, 2017",29.54,30.77,28.12,30.3,4303180,264959975
"Aug 29, 2017",30.79,32.2,29.48,29.48,5131350,257790740
"Aug 28, 2017",28.89,31.95,28.8,30.74,4693520,268841926
"Aug 27, 2017",31.67,31.67,28.5,28.87,4088800,252489459
"Aug 26, 2017",28.59,32.51,27.49,31.94,5481720,279335174
"Aug 25, 2017",26.99,30.35,26.99,28.65,8596460,250587400
"Aug 24, 2017",24.04,27.67,23.66,27.27,5336720,238490300
"Aug 23, 2017",23.68,25.03,22.9,23.87,3491500,208778816
"Aug 22, 2017",24.28,24.54,21.87,23.73,4896740,207548380
"Aug 21, 2017",22.42,26.08,22.42,24.06,9106090,210403656
"Aug 20, 2017",20.8,23.51,20.2,22.7,4714330,198507694
"Aug 19, 2017",21.74,25.5,20.91,20.91,12330700,182875824
"Aug 18, 2017",19.99,24.83,19.14,21.71,12079700,189892019
"Aug 17, 2017",19.4,20.79,18.51,19.95,3424580,174494518
"Aug 16, 2017",17.63,19.42,16.92,19.35,3078360,169191488
"Aug 15, 2017",17.33,18.94,16.58,17.62,4403210,154073831
"Aug 14, 2017",17.15,18.21,16.47,17.31,4334200,151380339
"Aug 13, 2017",19.77,19.77,16.17,17.15,7621270,150129085
"Aug 12, 2017",19.45,19.93,18.73,19.72,4171490,172614354
"Aug 11, 2017",19.51,20.7,18.87,19.36,4122470,169448315
"Aug 10, 2017",20.81,21.03,19.42,19.42,2478460,169955126
"Aug 09, 2017",20.76,21.2,19.46,20.7,2950020,181190758
"Aug 08, 2017",21.04,21.26,19.93,20.77,2529660,181806985
"Aug 07, 2017",20.36,21.33,19.14,21.33,3011810,186700909
"Aug 06, 2017",21.3,21.73,19.99,20.42,1627170,178710096
"Aug 05, 2017",18.77,21.59,18.47,21.54,3033400,188567971
"Aug 04, 2017",18.75,19.75,18.16,18.95,2416820,165870874
"Aug 03, 2017",19.41,19.43,18.69,18.76,1740220,164231396
"Aug 02, 2017",19.12,20.15,18.81,19.58,3347300,171348639
"Aug 01, 2017",16.25,20.12,16.07,19.13,4904440,167419319
"Jul 31, 2017",16.94,17.22,15.65,15.73,2688140,137709143
"Jul 30, 2017",18.48,18.56,16.39,16.93,1934940,148186746
"Jul 29, 2017",17.63,18.77,16,18.48,1974870,161799752
"Jul 28, 2017",17.77,18.46,16.66,17.69,3036260,154853197
"Jul 27, 2017",18.49,18.91,17.14,17.69,1992980,154853197
"Jul 26, 2017",18.67,19.31,17.48,18.31,1745280,160260936
"Jul 25, 2017",22.81,23.07,17.83,18.68,5684980,163487373
"Jul 24, 2017",22.5,23.37,21.26,22.75,3420740,199104221
"Jul 23, 2017",21.44,23.61,19.59,22.68,5269690,198497623
"Jul 22, 2017",17.06,22.82,16.93,21.29,6532530,186342903
"Jul 21, 2017",15.99,17.66,15.99,17,2512080,148844112
"Jul 20, 2017",14.45,17.12,14.45,15.8,4178390,138272850
"Jul 19, 2017",16,16.6,14.05,14.52,2406070,127053849
"Jul 18, 2017",15.81,16.51,14.62,15.93,4628260,139435277
"Jul 17, 2017",13.23,16.13,12.65,15.74,2834510,137734527
"Jul 16, 2017",13.12,13.43,11.45,13.24,2342440,115885617
"Jul 15, 2017",15.01,15.1,12.88,13.24,2364770,115869861
"Jul 14, 2017",17,17.19,13.73,14.86,3703520,130032570
"Jul 13, 2017",18.58,18.64,14.67,16.85,4507770,147463730
"Jul 12, 2017",14.4,17.75,13.51,17.75,4514800,155330248
"Jul 11, 2017",15.3,16.94,12.25,14.68,8804620,128467494
"Jul 10, 2017",20.85,21.34,14.63,15.93,6049120,139395013
"Jul 09, 2017",23.31,24.07,20.79,20.84,1903860,182441593
"Jul 08, 2017",22.59,23.29,20.55,23.29,3125800,203861595
"Jul 07, 2017",26,26.51,21.75,22.55,3083140,197427979
"Jul 06, 2017",26.48,27.51,25.46,25.9,3343980,226715375
"Jul 05, 2017",24.69,27.15,23.84,26.46,2865830,231631182
"Jul 04, 2017",23.52,26.62,23.52,24.77,3684920,216788349
"Jul 03, 2017",23.76,24.31,22.37,23.64,2003880,206916469
"Jul 02, 2017",21.65,24.58,20.55,23.85,3848540,208729260
"Jul 01, 2017",23.7,24.34,20.77,21.48,2792890,187983256
"Jun 30, 2017",25.09,25.93,23.43,23.52,2684430,205841573
"Jun 29, 2017",26.98,27.94,24.82,25.2,3172030,220601251
